                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.42094,                0.28903,                 0.8766,                0.99574,                0.99715,                  0.994,                0.96726,                0.30478,                0.14015,                0.85778,                0.00307,                0.00307,                0.00307
                     38,                0.41679,                0.28312,                0.87553,                0.99587,                0.99721,                0.99401,                0.96696,                0.30372,                0.13966,                 0.8577,               0.002872,               0.002872,               0.002872
                     39,                0.41116,                0.28282,                0.87431,                0.99594,                0.99732,                0.99409,                0.96743,                0.30312,                0.13876,                0.85787,               0.002674,               0.002674,               0.002674
                     40,                0.40393,                0.27834,                0.87052,                0.99591,                0.99726,                 0.9941,                0.96769,                0.30243,                0.13881,                0.85823,               0.002476,               0.002476,               0.002476
                     41,                0.31774,                0.16877,                0.82753,                0.99587,                0.99724,                 0.9941,                0.96788,                0.30085,                0.13847,                0.85668,               0.002278,               0.002278,               0.002278
                     42,                0.30783,                0.16389,                0.82264,                0.99586,                0.99724,                0.99412,                0.96799,                0.29909,                 0.1374,                0.85639,                0.00208,                0.00208,                0.00208
                     43,                0.29996,                0.16395,                0.81935,                0.99584,                0.99725,                0.99414,                0.96822,                0.29733,                 0.1367,                 0.8557,               0.001882,               0.001882,               0.001882
                     44,                 0.2898,                0.15736,                0.81513,                0.99584,                0.99725,                0.99414,                0.96862,                0.29603,                0.13629,                0.85578,               0.001684,               0.001684,               0.001684
                     45,                0.28248,                0.15388,                0.81197,                0.99587,                0.99726,                0.99413,                0.96913,                0.29476,                 0.1359,                0.85547,               0.001486,               0.001486,               0.001486
                     46,                0.27659,                0.15082,                0.81014,                 0.9959,                0.99726,                0.99415,                 0.9692,                0.29378,                0.13481,                0.85569,               0.001288,               0.001288,               0.001288
                     47,                0.26731,                0.14456,                0.80771,                0.99592,                0.99726,                0.99417,                0.96943,                0.29279,                 0.1343,                0.85565,                0.00109,                0.00109,                0.00109
                     48,                0.26087,                0.14109,                0.80628,                0.99592,                0.99726,                0.99417,                0.96923,                0.29191,                0.13412,                0.85556,               0.000892,               0.000892,               0.000892
                     49,                0.25291,                0.13574,                0.80299,                0.99593,                0.99726,                0.99417,                0.96934,                0.29091,                0.13355,                 0.8554,               0.000694,               0.000694,               0.000694
                     50,                0.24574,                0.13109,                0.80017,                0.99593,                0.99726,                0.99419,                0.96959,                0.28919,                0.13281,                0.85397,               0.000496,               0.000496,               0.000496
